"TITLE","DEPARTMENT","CATEGORY","BASE_PRICE","ORDER_NUMBER"
"No Name Toilet Paper (24ea)","Grocery","Bathroom Tissue",3.99,"531000013657849"
"No Name Toilet Paper (24ea)","Grocery","Bathroom Tissue",3.99,"531000013346543"
"No Name Toilet Paper (24ea)","Grocery","Bathroom Tissue",3.99,"531000012910594"
"No Name Toilet Paper (24ea)","Grocery","Bathroom Tissue",3.99,"531000012460142"
"No Name Toilet Paper (24ea)","Grocery","Bathroom Tissue",3.99,"531000012893570"
"No Name Toilet Paper (24ea)","Grocery","Bathroom Tissue",3.99,"531000000250241"
"No Name Sockeye Salmon (213g)","Grocery","Canned Fish/Meat",4.07,"531000099383161"
"No Name Sockeye Salmon (213g)","Grocery","Canned Fish/Meat",4.07,"531000093426297"
"No Name Sockeye Salmon (213g)","Grocery","Canned Fish/Meat",4.07,"531000098675616"
"No Name Sockeye Salmon (213g)","Grocery","Canned Fish/Meat",4.07,"531000094739087"
"Real Canadian Natural Spring Water (4L)","Grocery","Water",1.09,"531000095312857"
"Chapman's Cotton Candy Ice Cream (11.4L)","Frozen","Ice Cream",20.97,"1002000000002432"
"Halls Honey Menthols (30ea)","OTC","Cough & Cold",2.99,"531000096261527"
"Halls Honey Menthols (30ea)","OTC","Cough & Cold",2.99,"531000022086023"
"Lipton Sidekicks Potatoes with Roasted Chicken (148g)","Grocery","Side Dish/Rice",0,"531000095779502"
"Lipton Sidekicks Potatoes with Roasted Chicken (148g)","Grocery","Side Dish/Rice",0,"531000071380967"
"Lipton Sidekicks Potatoes with Roasted Chicken (148g)","Grocery","Side Dish/Rice",0,"531000028337812"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000100085381"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000099950676"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000091400305"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000089869374"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000092899992"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000087597849"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000088266632"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000094275075"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000079547621"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000092033343"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000091610152"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000097782112"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000096049610"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000084871180"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000071498932"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000070574059"
